eu1.dns.lavate.ch  # 275.02 ms
doh.safesurfer.io  # 275.15 ms
de-d2.foxyfy.net  # 276.18 ms
dns.csa-rz.de  # 276.26 ms
dns.belnet.be  # 276.30 ms
dns.foxyfy.net  # 276.34 ms
dns.cctld.kg  # 277.79 ms
doh.datahata.by  # 277.94 ms
adguard.bonis.de  # 277.97 ms
dns.dns-53.us  # 279.92 ms
abe01.dnscry.pt  # 280.63 ms
doh.phdns3.lonet.org  # 280.68 ms
applied-privacy.net  # 280.71 ms
dog.dns.qwer.pw  # 281.31 ms
fdns2.dismail.de  # 281.42 ms
ams02.dnscry.pt  # 281.71 ms
cluster-0.gac.edu  # 282.06 ms
doh.disconnect.app  # 282.33 ms
family.dot.dns.yandex.net  # 282.33 ms
doh.bortzmeyer.fr  # 283.55 ms
doh.domreg.lt  # 284.68 ms
ag.ff0x.ca  # 284.77 ms
doh.xcom.pro  # 285.28 ms
dns.4-the.win  # 286.14 ms
doh-primary-pool.detoxifypornblocker.com  # 286.18 ms
dns.sev.monster  # 287.23 ms
family-filter-dns.cleanbrowsing.org  # 288.90 ms
doh-02.spectrum.com  # 289.04 ms
de-f1.foxyfy.net  # 289.83 ms
frog.dns.qwer.pw  # 289.88 ms
dns.freyja.pw  # 292.38 ms
cluster-1.gac.edu  # 292.41 ms
dns.dnsguard.pub  # 293.33 ms
dns.digitale-gesellschaft.ch  # 293.40 ms
dns1.digitale-gesellschaft.ch  # 294.48 ms
bog01.dnscry.pt  # 294.55 ms
dns.brembeck.cloud  # 295.00 ms
es-ma.foxyfy.net  # 296.87 ms
dns1.ryan-palmer.com  # 297.33 ms
dns.suhaila.dev  # 298.02 ms
bts01.dnscry.pt  # 300.63 ms
dns.unx.io  # 300.74 ms
abn01.dnscry.pt  # 302.29 ms
dns.farshidhakimy.de  # 303.23 ms
doh.dnslify.com  # 304.05 ms
dns.njal.la  # 306.12 ms
dns.dnshome.de  # 308.81 ms
doh.kel.pe  # 313.74 ms
dns0.eu  # 315.31 ms
dub01.dnscry.pt  # 316.26 ms
doh-01.spectrum.com  # 317.88 ms
digitale-gesellschaft.ch  # 317.96 ms
doh.dns4all.eu  # 318.00 ms
dnsvps.familiamv.net  # 319.61 ms
fra02.dnscry.pt  # 321.98 ms
dns1.serdcebolit.ru  # 322.35 ms
evn01.dnscry.pt  # 323.90 ms
adult-filter-dns.cleanbrowsing.org  # 323.92 ms
haf01.dnscry.pt  # 327.37 ms
dns.neutopia.org  # 328.82 ms
dns.fancyorg.at  # 329.09 ms
dns.csaonline.de  # 329.50 ms
adguard.avdkishore.dev  # 329.77 ms
dns.therifleman.name  # 334.25 ms
dns.cert.ee  # 337.10 ms
agh.dshubham.xyz  # 339.93 ms
deic-ore.anycast.censurfridns.dk  # 341.41 ms
deic-ore.anycast.uncensoreddns.org  # 341.57 ms
dns2.digitale-gesellschaft.ch  # 346.41 ms
deic-lgb.anycast.censurfridns.dk  # 346.82 ms
deic-lgb.anycast.uncensoreddns.org  # 347.92 ms
doh.captnemo.in  # 351.81 ms
doh.nic.lv  # 356.83 ms
doh.lv  # 357.69 ms
dns.redhosting.com.ar  # 358.02 ms
dns.shecan.ir  # 360.14 ms
dns.retakecs.com  # 361.91 ms
dns.w3ctag.org  # 362.39 ms
dns.switch.ch  # 363.04 ms
child-noads.joindns4.eu  # 372.98 ms
dns.dynx.pro  # 381.13 ms
asia.tri-dns.net  # 382.78 ms
doh.rezhajul.io  # 387.30 ms
dns.smartguard.io  # 398.27 ms
dns.marasov.id  # 402.28 ms
doh.applied-privacy.net  # 404.90 ms
child.joindns4.eu  # 428.37 ms
dns.twnic.tw  # 429.59 ms
